song_name,time,album_name,genre,release_date,album_artist,,,
Eleven,3:26,Eleven - Single,R&B/Soul,1/11/2020,Khalid,,,
Stitches,3:27,Handwritten (Revisited),Pop,4/14/2015,Shawn Mendes,,,
Power Over Me,3:27,Power Over Me - Single,Singer/Songwriter,10/16/2018,Dermot Kennedy,,,
Farmer's Daughter,3:27,It's America,Country,3/31/2009,Rodney Atkins,,,
Show Me Love (feat. Kimberly Anne),3:27,Show Me Love (feat. Kimberly Anne) - Single,Dance,2/16/2015,Sam Feldt,,,
So Sick,3:27,In My Own Words,R&B/Soul,11/22/2005,Ne-Yo,,,
Riot,3:28,One-X (Deluxe Version),Rock,6/13/2006,Three Days Grace,,,
Didn't I,3:28,Human (Deluxe),Pop,3/13/2020,OneRepublic,,,
Like This,3:28,The Search,Hip-Hop/Rap,7/26/2019,NF,,,
A Woman Like You,3:28,Hard 2 Love,Country,10/17/2011,Lee Brice,,,
Shivers,3:28,=,Pop,9/9/2021,Ed Sheeran,,,
I Don't Know About You,3:28,Laps Around the Sun,Country,6/29/2018,Chris Lane,,,
Waves (Robin Schulz Radio Edit),3:28,Waves (Robin Schulz Radio Edit) - Single,Dance,2/4/2014,Mr. Probz,,,
Beautiful Life,3:28,Hurricane,Pop,8/5/2016,Nick Fradiani,,,
You'll Be Back,3:28,Hamilton (Original Broadway Cast Recording),Soundtrack,9/25/2015,Original Broadway Cast of Hamilton,,,
If the World Was Ending (feat. Julia Michaels),3:29,If the World Was Ending (feat. Julia Michaels) - Single,Pop,5/7/2021,JP Saxe & Julia Michaels,,,
Mercy,3:29,Illuminate (Deluxe),Pop,8/18/2016,Shawn Mendes,,,
With You Tonight (Hasta El Amanecer),3:29,Fénix,Pop,1/20/2017,Nicky Jam,,,
Lie,3:29,Perception,Hip-Hop/Rap,10/6/2017,NF,,,
Habits (Stay High),3:29,Queen of the Clouds,Alternative,3/3/2013,Tove Lo,,,
Never Too Late,3:29,One-X (Deluxe Version),Rock,6/13/2006,Three Days Grace,,,
Take a Back Road,3:29,Take a Back Road,Country,4/25/2011,Rodney Atkins,,,
Soap,3:29,Cry Baby (Deluxe Edition),Alternative,7/10/2015,Melanie Martinez,,,
Dance Monkey,3:29,The Kids Are Coming - EP,Alternative,5/10/2019,Tones And I,,,
Saturday Nights,3:29,Free Spirit,R&B/Soul,10/19/2018,Khalid,,,
"Gone, Gone, Gone",3:30,The World From the Side of the Moon (Deluxe Version),Pop,11/19/2012,Phillip Phillips,,,
Vacation,3:30,Vacation - Single,Alternative,6/30/2017,Dirty Heads,,,
I Like the Sound of That,3:30,Rewind,Country,5/13/2014,Rascal Flatts,,,
Stay,3:30,Stay - Single,Dance,2/23/2017,Zedd & Alessia Cara,,,
7 Summers,3:30,7 Summers - Single,Country,8/14/2020,Morgan Wallen,,,
Home,3:30,The World From the Side of the Moon (Deluxe Version),Pop,5/23/2012,Phillip Phillips,,,
